,reviewer_count,additions,deletions,changed_files,commits,total_lines_changed,comments,review_comments,review_count,review_approved_count,review_commented_count,review_changes_requested_count,review_dismissed_count,review_requested_count,title_length,description_length,images_count,description_word_count,description_croatian_words,description_croatian_pct,title_croatian_words,time_to_first_review_minutes,time_to_first_approval_minutes,non_working_minutes,effective_minutes
count,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,199.0,197.0,222.0,222.0
mean,3.220720720720721,200.77027027027026,98.75675675675676,8.873873873873874,7.018018018018018,299.52702702702703,0.46396396396396394,2.824324324324324,2.6576576576576576,1.1126126126126126,1.5045045045045045,0.036036036036036036,0.0045045045045045045,3.2477477477477477,34.08108108108108,284.14414414414415,0.28378378378378377,43.409909909909906,23.87837837837838,48.0609575262278,0.545045045045045,1279.3881909547738,2356.201438240271,1028.8330330330327,2409.0596846846847
std,1.9358310908103256,908.8691379298642,459.91568608012915,21.657188044041416,17.411694193745376,1349.6273481610558,1.2570375857181828,5.973602810437911,3.317294584052573,0.69316209241132,2.9973559203995572,0.1868010255055289,0.06711560552140243,2.0682625163487747,9.511731394446175,303.3534696434826,0.6830912622014905,48.06310417354748,34.45383272168204,36.537139612228266,1.245897429647233,1957.8692472194066,3813.5468213992654,2004.4803393371685,3842.589144735469
min,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349999999999998,0.7833333333333301,0.0,-5.334274688628681e-15
25%,2.0,11.0,3.0,1.0,1.0,22.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,28.0,80.5,0.0,12.0,3.25,16.666666666666664,0.0,118.65,197.6,0.0,392.84999999999997
50%,2.5,46.0,14.0,4.0,3.0,60.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,33.0,191.0,0.0,29.0,10.0,25.462962962962962,0.0,1110.05,1337.8,0.0,1440.0083333333332
75%,5.0,139.5,61.25,10.0,7.0,213.75,0.0,3.0,3.0,1.0,2.0,0.0,0.0,5.0,39.0,368.75,0.0,56.5,29.0,88.44760312151615,0.0,1620.1083333333333,2764.35,1965.0,2778.0333333333338
max,7.0,13121.0,6318.0,297.0,232.0,19439.0,9.0,53.0,27.0,4.0,25.0,1.0,1.0,10.0,74.0,2334.0,4.0,383.0,225.0,100.0,10.0,21439.416666666668,29650.033333333333,18780.0,38098.54999999999
