feature,importance
comments,0.21055453
time_to_first_approval_minutes,0.16447626
reviewer_team_size,0.12345008
commits,0.09320083
review_count,0.08528854
review_commented_count,0.046480693
review_approved_count,0.045169756
changed_files,0.036966383
review_comments,0.030265136
time_to_first_review_minutes,0.019278893
reviewer_count,0.016424999
total_lines_changed,0.014573398
review_requested_count,0.014352621
has_reviewer_[user_5],0.01419331
has_reviewer_[user_2],0.012398029
additions,0.012378758
has_reviewer_[user_3],0.011343562
description_word_count,0.00881458
deletions,0.008478866
position,0.007876977
images_count,0.0071237637
author_is_reviewer,0.005773283
pr_type,0.0055736275
reviewer_team_medium,0.0055631837
has_reviewer_[user],0.0
has_reviewer_[user_7],0.0
has_reviewer_[user_6],0.0
review_changes_requested_count,0.0
has_reviewer_[user_4],0.0
review_dismissed_count,0.0
reviewer_team_small,0.0
reviewer_team_large,0.0
