feature,rf_importance,rf_rank,mi_importance,mi_rank,f_score,f_p_value,f_rank
is_new_feature,0.5023042923618917,1.0,1.1646719934650323,1.0,213.38656329934986,3.1066431886504074e-34,1.0
images_count,0.11449988216378275,2.0,0.20976080172528233,9.0,61.394438623136345,1.9763655820966376e-13,7.0
title_croatian_words,0.060058769438058206,3.0,0.27885149170660783,3.0,130.55234771907362,4.8435133178668346e-24,2.0
reviewer_count,0.05045812186210115,4.0,0.02339153329392496,22.0,24.26406252420381,1.649680488211472e-06,10.0
is_update,0.034317446019056855,5.0,0.7294617168787441,2.0,63.3217736757541,9.220344489047201e-14,6.0
description_croatian_words,0.030159314126959342,6.0,0.1416246854102181,15.0,98.07943138710424,2.3388963055403984e-19,4.0
time_to_first_approval_minutes,0.02767443215844845,7.0,0.2269956985797199,6.0,41.948944909282375,6.038466346679007e-10,8.0
description_croatian_pct,0.02061880978271464,8.0,0.23038179388253965,5.0,100.68704281418906,9.443947251334157e-20,3.0
deletions,0.019430871210712655,9.0,0.060238584390592376,21.0,90.91140928775243,2.945058939939705e-18,5.0
author_id,0.016440471322530313,10.0,0.1780571223973184,10.0,4.694314230166409,0.03133698595263026,20.0
review_count,0.0163957853535797,11.0,0.22238865254316975,8.0,14.784886822797919,0.00015778355595292095,14.0
is_frontend,0.014546038463343772,12.0,0.17615824418021342,11.0,4.090172546947426,0.04434361160061888,21.0
additions,0.013892258312568627,13.0,0.15635673499898095,14.0,6.094115906898633,0.014325169513672837,19.0
review_comments,0.01190024454041547,14.0,0.11472769726463472,17.0,15.207117911031037,0.00012797546090894258,13.0
changed_files,0.01166079043413892,15.0,0.2686769608337243,4.0,28.74243412306999,2.0844242931959554e-07,9.0
total_lines_changed,0.011650302497103951,16.0,0.17397245510443549,12.0,3.7737221674019144,0.05333984714069852,22.0
commits,0.010461287178374658,17.0,0.1572087583301096,13.0,2.7354252555026672,0.0995714642552893,23.0
comments,0.009574754339962986,18.0,0.09604412327243494,18.0,18.0934896540149,3.111147125078577e-05,11.0
is_bug_fix,0.008196254478352975,19.0,0.2231167885978489,7.0,15.773647218021148,9.67318108659244e-05,12.0
is_backend,0.006027990957339477,20.0,0.13784311218095446,16.0,6.67771801572894,0.010409252782075478,18.0
review_commented_count,0.0021734822800373896,21.0,0.06933786859409419,20.0,1.0482398986078194,0.3070372636654995,25.0
review_approved_count,0.0018362234255985136,22.0,0.009849734368323038,23.0,0.05035319774224443,0.8226580835363126,30.0
review_requested_count,0.0015974635838131878,23.0,0.0,27.5,0.40069120414493825,0.5273899308873022,28.0
description_length,0.0009428322923903042,24.0,0.0,27.5,11.618314255539248,0.0007766052656634848,15.0
is_refactor,0.00092527080897734,25.0,0.0,27.5,0.47805063425001343,0.49003558979311934,27.0
description_word_count,0.0006781092749915126,26.0,0.009650001664166297,24.0,7.613910341851763,0.006279915464431281,17.0
review_dismissed_count,0.0006296132476512954,27.0,0.0,27.5,2.5061409015452227,0.11483980337289805,24.0
review_changes_requested_count,0.0005900126210159479,28.0,0.08158001911551493,19.0,8.64404542530121,0.003631688554578329,16.0
title_length,0.00035497977403319025,29.0,0.0,27.5,0.49751332536028464,0.48134092646248583,26.0
time_to_first_review_minutes,3.89569005471455e-06,30.0,0.0,27.5,0.20970151352957503,0.6474534201351072,29.0
