config,cv_rmse_mean,cv_rmse_std,train_r2,test_r2,test_rmse,test_mae,overfit_gap
Baseline RF,2422.2891284959164,1266.2684286518083,0.8478774592209674,0.3584405014380897,1832.8703626733875,1039.260442720458,0.48943695778287766
More Trees,2414.408001850313,1259.2152013580494,0.8446321710319065,0.34567936186547654,1851.0092476998175,1038.922958646934,0.4989528091664299
Deeper Trees,2412.8401716057574,1273.7558785762305,0.8500476579939953,0.36517488499554274,1823.2252598817895,1026.3119470610345,0.48487277299845255
More Regularized,2564.3239310681847,1202.679286264573,0.7317051555604297,0.31036805463511996,1900.2991082381106,1069.9386318811055,0.42133710092530974
Balanced,2472.4515693820713,1178.5353188332901,0.7714284933991169,0.32372364947447074,1881.8082982458507,1048.8610735901555,0.44770484392464616
"Many Trees, Shallow",2615.179489397753,1176.6039436549438,0.7036716952881983,0.285574192641577,1934.1575451726967,1088.0589158676385,0.41809750264662127
