config,cv_rmse_mean,cv_rmse_std,train_r2,test_r2,train_rmse,test_rmse,test_mae,overfit_gap
Current (Baseline),2188.822114099054,946.192395803107,0.9787451956950508,0.19879263998146823,602.6396109461377,2048.2631144682387,1177.2731692829839,0.7799525557135826
More Regularization,2087.0182219565663,1063.1789045516364,0.921709915250747,0.11518785309155677,1156.5981685766508,2152.478475147559,1170.5764711959275,0.8065220621591902
Balanced,2125.3129108111293,969.993840011508,0.9564980186017566,0.1898920125991198,862.1515987135738,2059.608788084435,1226.4901186695804,0.7666060060026368
Shallow & Fast,2174.675725924087,977.2603654678983,0.9439513948239482,-0.0945296039777832,978.6142227139434,2394.0159271583025,1353.3788542627406,1.0384809988017314
