feature,importance
time_to_first_approval_minutes,0.19592492108039594
time_to_first_approval_minutes_squared,0.18847798263988502
review_to_approval_time,0.1841854080949167
reviews_per_reviewer,0.04332381047031683
commits_per_file,0.042581212221844175
author_id,0.0414018493076721
commits_squared,0.03770743416231311
commits,0.0310011549825992
comments,0.02972028429791779
commits_log,0.022472171784228882
review_count,0.021234421452212993
review_commented_count,0.019318205148557116
review_count_squared,0.019078181849780534
time_to_first_review_minutes,0.014839304940500021
description_length,0.012789785529302277
review_approved_count,0.011172484652484766
description_word_count,0.007701497233828912
lines_per_commit,0.00616648112343787
review_requested_count,0.005739844756619007
additions_deletions_ratio,0.005684249435800694
is_frontend,0.005606478610790868
reviewer_count,0.005402965316000295
deletions,0.005284210728940273
description_croatian_pct,0.004955810379901265
total_lines_changed_log,0.004893360305233509
deletions_log,0.004875049701584919
title_length,0.004347282499266379
additions_log,0.004266367306355416
total_lines_changed,0.0042341423738996254
changed_files,0.004164113778218078
additions,0.0030602284709190194
description_croatian_words,0.0029109059969593
review_comments,0.0021853151660929304
images_count,0.000681235469584703
title_croatian_words,0.0005223571898769488
is_update,0.0005093063705601558
is_refactor,0.00046096824424985913
is_backend,0.00045648256745610524
is_new_feature,0.0004063719249536549
is_bug_fix,0.00015519519285128597
review_changes_requested_count,0.00010116724169148138
review_dismissed_count,0.0
