game_id;white;black;date;game;result;opening;eco_code;white_brilliant_moves;black_brilliant_moves;white_critical_moves;black_critical_moves;white_best_moves;black_best_moves;white_excellent_moves;black_excellent_moves;white_ok_moves;black_ok_moves;white_inaccuracies;black_inaccuracies;white_mistakes;black_mistakes;white_blunders;black_blunders;white_theoretical_moves;black_theoretical_moves;white_move_accuracy;black_move_accuracy;termination_by;white_illegal_moves;black_illegal_moves;white_illegal_streak_max;black_illegal_streak_max;white_random_fallbacks;black_random_fallbacks
groq_vs_reka_20260129010248;llama-3.3-70b-versatile;reka-core-20240501;29.1.2026;10;1/2-1/2;King's Pawn Game;C44;0;0;0;0;3;2;7;0;5;1;1;4;6;6;8;17;1;1;58,9;58;repetition;27;27;2;2;0;0
groq_vs_youchat_20260129014357;llama-3.3-70b-versatile;youchat;29.1.2026;11;1/2-1/2;Centre Game;C21;0;0;0;0;1;0;2;2;5;6;1;2;3;4;9;8;2;1;57,4;54,3;repetition;15;21;1;2;0;0
reka_vs_gemini_20260129020457;reka-core-20240501;gemma-3-27b-it;29.1.2026;12;1/2-1/2;Bongcloud;;0;0;0;0;0;1;0;0;2;1;2;1;4;7;2;1;2;1;60,5;60,6;repetition;7;9;2;3;0;0
reka_vs_cohere_20260129021624;reka-core-20240501;command-a-03-2025;29.1.2026;13;1/2-1/2;Bongcloud;;0;0;0;0;1;1;2;1;3;2;1;3;2;1;4;6;2;1;61,8;56,2;repetition;10;29;2;9;0;5
reka_vs_groq_20260129025747;reka-core-20240501;llama-3.3-70b-versatile;29.1.2026;14;1/2-1/2;English Opening;A10;0;0;0;0;0;0;1;3;1;3;7;0;6;6;13;17;2;1;31,7;34,1;repetition;26;19;4;2;0;0
reka_vs_youchat_20260129034950;reka-core-20240501;youchat;29.1.2026;15;0-1;Bongcloud;;0;0;0;0;5;5;2;7;3;5;1;0;5;3;5;3;2;1;70,4;74,4;checkmate;20;16;4;2;0;0
youchat_vs_gemini_20260129041139;youchat;gemma-3-27b-it;29.1.2026;16;1-0;Petrov's Defence;C42;0;0;0;0;3;2;3;1;1;3;3;1;1;0;4;6;2;2;69,8;64,3;checkmate;9;13;2;3;0;0
youchat_vs_cohere_20260129042804;youchat;command-a-03-2025;29.1.2026;17;1/2-1/2;Petrov's Defence;C42;0;0;0;0;0;0;4;1;2;6;5;7;9;3;1;4;2;2;66,1;64,7;repetition;16;21;2;4;0;0
youchat_vs_groq_20260129045005;youchat;llama-3.3-70b-versatile;29.1.2026;18;1/2-1/2;King's Pawn Game;C44;0;0;0;0;3;1;0;1;0;1;1;0;2;3;10;9;1;1;39,9;38,7;repetition;15;12;2;3;0;0
youchat_vs_reka_20260129050510;youchat;reka-core-20240501;29.1.2026;19;1/2-1/2;King's Knight Opening;C40;0;0;0;0;5;4;4;6;8;7;4;4;1;1;7;6;2;2;68,3;69,5;repetition;11;25;2;6;0;0
