id,resort,country,continent,month,month_sin,month_cos,is_winter_month,is_shoulder_month,snow,snow_missing,snow_imputed,snow_lag_1,snow_lag_2,snow_3m_mean,snow_3m_std,snow_6m_mean,highest_point,lowest_point,altitude_range,total_slopes,share_beginner,share_intermediate,share_difficult,total_lifts,lift_capacity,share_surface_lifts,share_chair_lifts,share_gondola_lifts,price,log_price,log_lift_capacity,locality_score,demand_score,attendance
1,Hemsedal,Norway,Europe,2022-01-01,-0.07880315299594536,0.9968901960987968,1,0,100.0,0,100.0,,,100.0,0.0,100.0,1450.0,620.0,830.0,43.0,0.6744186046511628,0.23255813953488372,0.09302325581395349,21.0,22921.0,0.7142857142857143,0.2857142857142857,0.0,46.0,3.8501476017100584,10.039852427056644,1.0,121.57518566823882,high
1,Hemsedal,Norway,Europe,2022-02-01,-0.06254574045753,0.9980420984861407,1,0,100.0,0,100.0,100.0,,100.0,0.0,100.0,1450.0,620.0,830.0,43.0,0.6744186046511628,0.23255813953488372,0.09302325581395349,21.0,22921.0,0.7142857142857143,0.2857142857142857,0.0,46.0,3.8501476017100584,10.039852427056644,1.0,121.57518566823882,high
1,Hemsedal,Norway,Europe,2022-03-01,0.032773789934219456,0.9994627950520958,1,0,100.0,0,100.0,100.0,100.0,100.0,0.0,100.0,1450.0,620.0,830.0,43.0,0.6744186046511628,0.23255813953488372,0.09302325581395349,21.0,22921.0,0.7142857142857143,0.2857142857142857,0.0,46.0,3.8501476017100584,10.039852427056644,1.0,121.57518566823882,high
1,Hemsedal,Norway,Europe,2022-04-01,0.04905831062447447,0.998795916170402,0,1,100.0,0,100.0,100.0,100.0,100.0,0.0,100.0,1450.0,620.0,830.0,43.0,0.6744186046511628,0.23255813953488372,0.09302325581395349,21.0,22921.0,0.7142857142857143,0.2857142857142857,0.0,46.0,3.8501476017100584,10.039852427056644,1.0,106.57518566823884,high
1,Hemsedal,Norway,Europe,2022-05-01,-0.11633697130920091,0.993209801153111,0,0,100.0,0,100.0,100.0,100.0,100.0,0.0,100.0,1450.0,620.0,830.0,43.0,0.6744186046511628,0.23255813953488372,0.09302325581395349,21.0,22921.0,0.7142857142857143,0.2857142857142857,0.0,46.0,3.8501476017100584,10.039852427056644,1.0,106.57518566823884,high
1,Hemsedal,Norway,Europe,2022-06-01,-0.10013455542064037,0.9949739045878091,0,0,0.39,0,0.39,100.0,100.0,66.79666666666667,57.50986031397862,83.39833333333333,1450.0,620.0,830.0,43.0,0.6744186046511628,0.23255813953488372,0.09302325581395349,21.0,22921.0,0.7142857142857143,0.2857142857142857,0.0,46.0,3.8501476017100584,10.039852427056644,1.0,38.5083523349055,medium
1,Hemsedal,Norway,Europe,2022-07-01,-0.01598099091434407,0.9998722958105178,0,0,,1,9.45,0.39,100.0,36.61333333333334,55.08105875283565,68.30666666666666,1450.0,620.0,830.0,43.0,0.6744186046511628,0.23255813953488372,0.09302325581395349,21.0,22921.0,0.7142857142857143,0.2857142857142857,0.0,46.0,3.8501476017100584,10.039852427056644,0.65,20.42171235102191,medium
1,Hemsedal,Norway,Europe,2022-08-01,0.0003166790417742279,0.999999949857191,0,0,,1,5.91,9.45,0.39,5.25,4.565917213441247,52.625,1450.0,620.0,830.0,43.0,0.6744186046511628,0.23255813953488372,0.09302325581395349,21.0,22921.0,0.7142857142857143,0.2857142857142857,0.0,46.0,3.8501476017100584,10.039852427056644,0.65,11.001695684355242,low
1,Hemsedal,Norway,Europe,2022-09-01,0.016614264878330495,0.9998619735756294,0,0,,1,3.54,5.91,9.45,6.3,2.974239398568831,36.54833333333333,1450.0,620.0,830.0,43.0,0.6744186046511628,0.23255813953488372,0.09302325581395349,21.0,22921.0,0.7142857142857143,0.2857142857142857,0.0,46.0,3.8501476017100584,10.039852427056644,0.65,9.34831235102191,low
1,Hemsedal,Norway,Europe,2022-10-01,-0.14851256410687452,0.9889105208775977,0,0,12.99,0,12.99,3.54,5.91,7.48,4.9167367226646475,22.046666666666667,1450.0,620.0,830.0,43.0,0.6744186046511628,0.23255813953488372,0.09302325581395349,21.0,22921.0,0.7142857142857143,0.2857142857142857,0.0,46.0,3.8501476017100584,10.039852427056644,1.0,18.5423523349055,medium
