id,resort,latitude,longitude,country,continent,price,season,highest_point,lowest_point,beginner_slopes,intermediate_slopes,difficult_slopes,total_slopes,longest_run,snow_cannons,surface_lifts,chair_lifts,gondola_lifts,total_lifts,lift_capacity,child_friendly,snowparks,nightskiing,summer_skiing,lat_grid,lon_grid,month,snow
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-01-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-01-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-01-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-01-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-02-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-02-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-02-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-02-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-03-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-03-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-03-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-03-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-04-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-04-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-04-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-04-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-05-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-05-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-05-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-06-01,0.39
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-06-01,0.39
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-07-01,
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-08-01,
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-09-01,
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-10-01,12.99
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-11-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-11-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-11-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-11-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-12-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-12-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-12-01,100.0
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,61.0,8.5,2022-12-01,100.0
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-01-01,99.61
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-02-01,100.0
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-03-01,100.0
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-04-01,100.0
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-05-01,100.0
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-06-01,
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-07-01,
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-08-01,
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-09-01,0.39
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-10-01,97.64
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-11-01,98.03
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,60.5,8.25,2022-12-01,100.0
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-01-01,96.06
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-02-01,99.21
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-03-01,96.46
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-04-01,61.02
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-05-01,13.39
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-06-01,9.45
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-07-01,10.24
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-08-01,5.91
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-09-01,8.27
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-10-01,17.72
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-11-01,46.46
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,47.0,9.75,2022-12-01,87.8
4,Red Mountain Resort-Rossland,49.1055201,-117.8462801,Canada,North America,60,December - April,2075,1185,20,50,50,120,7,0,2,5,1,8,9200,Yes,Yes,Yes,No,49.0,-117.75,2022-01-01,96.06
4,Red Mountain Resort-Rossland,49.1055201,-117.8462801,Canada,North America,60,December - April,2075,1185,20,50,50,120,7,0,2,5,1,8,9200,Yes,Yes,Yes,No,49.0,-117.75,2022-02-01,95.28
4,Red Mountain Resort-Rossland,49.1055201,-117.8462801,Canada,North America,60,December - April,2075,1185,20,50,50,120,7,0,2,5,1,8,9200,Yes,Yes,Yes,No,49.0,-117.75,2022-03-01,100.0
4,Red Mountain Resort-Rossland,49.1055201,-117.8462801,Canada,North America,60,December - April,2075,1185,20,50,50,120,7,0,2,5,1,8,9200,Yes,Yes,Yes,No,49.0,-117.75,2022-04-01,25.59
4,Red Mountain Resort-Rossland,49.1055201,-117.8462801,Canada,North America,60,December - April,2075,1185,20,50,50,120,7,0,2,5,1,8,9200,Yes,Yes,Yes,No,49.0,-117.75,2022-05-01,5.12
4,Red Mountain Resort-Rossland,49.1055201,-117.8462801,Canada,North America,60,December - April,2075,1185,20,50,50,120,7,0,2,5,1,8,9200,Yes,Yes,Yes,No,49.0,-117.75,2022-06-01,5.91
4,Red Mountain Resort-Rossland,49.1055201,-117.8462801,Canada,North America,60,December - April,2075,1185,20,50,50,120,7,0,2,5,1,8,9200,Yes,Yes,Yes,No,49.0,-117.75,2022-07-01,
